technology,carrier,node,time_operation,flow_conversion_input
emitter_wte,co2_fossil,waste_1_CH,1,5.704
emitter_wte,co2_fossil,waste_1_CH,2,5.704
emitter_wte,co2_fossil,waste_1_CH,3,5.704
emitter_wte,co2_fossil,waste_1_CH,4,5.704
emitter_wte,co2_fossil,waste_2_CH,0,11.408
emitter_wte,co2_fossil,waste_2_CH,1,11.408
emitter_wte,co2_fossil,waste_2_CH,2,11.408
emitter_wte,co2_fossil,waste_2_CH,3,11.408
emitter_wte,co2_fossil,waste_2_CH,4,11.408
emitter_wte,co2_biogenic,swiss_storage_CH,0,0.0
emitter_wte,co2_biogenic,swiss_storage_CH,1,0.0
emitter_wte,co2_biogenic,swiss_storage_CH,2,0.0
emitter_wte,co2_biogenic,swiss_storage_CH,3,0.0
emitter_wte,co2_biogenic,swiss_storage_CH,4,0.0
emitter_wte,co2_biogenic,waste_1_CH,0,5.704
emitter_wte,co2_biogenic,waste_1_CH,1,5.704
emitter_wte,co2_biogenic,waste_1_CH,2,5.704
emitter_wte,co2_biogenic,waste_1_CH,3,5.704
emitter_wte,co2_biogenic,waste_1_CH,4,5.704
emitter_wte,co2_biogenic,waste_2_CH,0,11.408
emitter_wte,co2_biogenic,waste_2_CH,1,11.408
emitter_wte,co2_biogenic,waste_2_CH,2,11.408
emitter_wte,co2_biogenic,waste_2_CH,3,11.408
emitter_wte,co2_biogenic,waste_2_CH,4,11.408
heat_pump,electricity,swiss_storage_CH,0,0.0
heat_pump,electricity,swiss_storage_CH,1,0.0
heat_pump,electricity,swiss_storage_CH,2,0.0
heat_pump,electricity,swiss_storage_CH,3,0.0
heat_pump,electricity,swiss_storage_CH,4,0.0
heat_pump,electricity,waste_1_CH,0,0.0
heat_pump,electricity,waste_1_CH,1,3.6161332870784486
heat_pump,electricity,waste_1_CH,2,3.6161332870784486
heat_pump,electricity,waste_1_CH,3,3.6161332870784486
heat_pump,electricity,waste_1_CH,4,3.6161332870784486
heat_pump,electricity,waste_2_CH,0,0.0
heat_pump,electricity,waste_2_CH,1,2.643342894962506
heat_pump,electricity,waste_2_CH,2,2.6433428949625064
heat_pump,electricity,waste_2_CH,3,7.194895971033346
heat_pump,electricity,waste_2_CH,4,7.194895971033346
permanent_storage,electricity,swiss_storage_CH,0,0.0
permanent_storage,electricity,swiss_storage_CH,1,0.5943067945516919
permanent_storage,electricity,swiss_storage_CH,2,0.5943067945516919
permanent_storage,electricity,swiss_storage_CH,3,1.0264546037617528
permanent_storage,electricity,swiss_storage_CH,4,1.0264546037617528
permanent_storage,electricity,waste_1_CH,0,0.0
permanent_storage,electricity,waste_1_CH,1,0.0
permanent_storage,electricity,waste_1_CH,2,0.0
permanent_storage,electricity,waste_1_CH,3,0.0
permanent_storage,electricity,waste_1_CH,4,0.0
permanent_storage,electricity,waste_2_CH,0,0.0
permanent_storage,electricity,waste_2_CH,1,0.0
permanent_storage,electricity,waste_2_CH,2,0.0
permanent_storage,electricity,waste_2_CH,3,0.0
permanent_storage,electricity,waste_2_CH,4,0.0
permanent_storage,co2_liquid_16bar,swiss_storage_CH,0,0.0
permanent_storage,co2_liquid_16bar,swiss_storage_CH,1,17.567023262387377
permanent_storage,co2_liquid_16bar,swiss_storage_CH,2,17.567023262387377
permanent_storage,co2_liquid_16bar,swiss_storage_CH,3,30.340813982564946
permanent_storage,co2_liquid_16bar,swiss_storage_CH,4,30.340813982564946
permanent_storage,co2_liquid_16bar,waste_1_CH,0,0.0
permanent_storage,co2_liquid_16bar,waste_1_CH,1,0.0
permanent_storage,co2_liquid_16bar,waste_1_CH,2,0.0
permanent_storage,co2_liquid_16bar,waste_1_CH,3,0.0
permanent_storage,co2_liquid_16bar,waste_1_CH,4,0.0
permanent_storage,co2_liquid_16bar,waste_2_CH,0,0.0
permanent_storage,co2_liquid_16bar,waste_2_CH,1,0.0
permanent_storage,co2_liquid_16bar,waste_2_CH,2,0.0
permanent_storage,co2_liquid_16bar,waste_2_CH,3,0.0
permanent_storage,co2_liquid_16bar,waste_2_CH,4,0.0
